dt_ts,NEE,ET,LE,H,SWin,SWout,LWin,LWout,TA1,RH1
2025-06-16 00:30:00,-2.6457050095049004,0.9686009235614546,27.452224658397203,-12.158885852526558,-0.09666666,0.1066667,392.2867,416.4167,20.26,75.09
2025-06-16 01:00:00,-4.392643640917427,0.49992643236901996,14.175594665273266,-6.988949038162699,-1.193333,-0.08666667,386.1833,412.1033,19.65,78.16
2025-06-16 01:30:00,-2.740918732810948,0.17669816631541688,5.012853185816014,-3.171557344890187,-0.2533333,-0.21,387.0733,411.5633,19.27,80.9
2025-06-16 02:00:00,-2.558286855006169,0.2646647362263385,7.50857967993054,-4.794146720128698,-0.3366667,-0.04,375.06,410.36,19.21,81.9
2025-06-16 02:30:00,-3.3656675913849243,0.17083727791266182,4.846791804825464,-5.969050123976452,-0.64,-0.01333333,349.5133,407.2067,19.11,81.1
2025-06-16 03:00:00,-8.818364179867165,0.2658785169695751,7.546652954140013,-13.739655067054956,-0.4566667,-0.08333334,364.4733,403.82,18.15,85.7
2025-06-16 03:30:00,-14.308286221229908,0.29426140141462065,8.35761056998227,-12.697763486986249,-0.17,-0.1466667,376.3333,403.88,17.66,88.8
2025-06-16 04:00:00,-1.430734845194155,0.04712906255179109,1.3386060833819895,-7.418726793995861,-0.1166667,-0.006666667,369.1967,402.8767,17.83,87.4
2025-06-16 04:30:00,-1.298188294381553,0.0555743468757403,1.5787614528517744,-2.1396901010054745,3.486667,0.7399999,388.5433,405.32,17.64,89.5
2025-06-16 05:00:00,-8.82273431486366,0.14964231970832995,4.252573848179356,0.23275854664730344,42.77333,11.01333,389.7666,409.8633,17.67,92.0
2025-06-16 05:30:00,-2.6475409845702145,0.5680918486806643,16.138347267073506,2.6052071943000814,90.48333,22.63,383.4066,415.6667,18.41,88.0
2025-06-16 06:00:00,-1.6066647383085157,0.7836031699625241,22.25212302212294,4.6589503407346315,124.09,28.52,381.2933,418.3866,18.72,86.5
2025-06-16 06:30:00,-2.6398134835712463,0.9149276267356763,25.975380524995625,4.402457858399964,92.51,20.54667,407.3434,417.5133,18.9,88.7
2025-06-16 07:00:00,-2.1510680047727013,0.7938316455602873,22.54396059782328,4.180007359952141,64.15667,14.46667,403.0433,417.2267,18.98,90.6
2025-06-16 07:30:00,-1.6623225259741568,0.5007410222756689,14.215697800335764,4.944295581208308,65.28,14.62,400.56,417.7333,19.03,89.5
2025-06-16 08:00:00,-1.173577047175612,0.8561931943987838,24.30303097120232,1.5287897850410792,56.95667,12.23667,396.0467,417.8,19.06,91.2
2025-06-16 08:30:00,0.9353270546196506,1.21595608014357,34.51790281769945,4.399938278680029,211.1133,44.96,397.0333,424.7333,19.44,90.6
2025-06-16 09:00:00,3.0442311564149134,3.8468928270465494,109.14827926415455,11.7729697137064,273.6033,59.75,394.9433,429.2267,20.09,82.5
2025-06-16 09:30:00,3.487383298138418,3.912785738545483,110.94087515393603,32.99774705088365,315.1467,69.48,395.0399,433.2967,21.02,82.5
2025-06-16 10:00:00,10.601953422587444,5.010137251088659,141.98453481500562,41.30995444288348,400.98,89.23,401.0633,440.4167,21.59,81.8
2025-06-16 10:30:00,9.646058992868948,3.6691400146650963,103.92134566071448,34.575421811912705,471.38,107.1267,405.1,445.1,22.24,77.7
2025-06-16 11:00:00,17.868901955647512,6.534752398805595,184.90087010110224,68.61582600739828,520.1766,116.1333,410.1833,456.0767,24.0,76.55
2025-06-16 11:30:00,12.555195068030905,3.591143409911638,101.59319760864378,32.96473182758468,311.3633,71.54333,408.7467,445.84,23.25,80.5
2025-06-16 12:00:00,11.223665560711945,4.922269694594485,139.16110355066823,31.32364870212625,457.0767,99.29,406.7733,455.2733,24.34,76.36
2025-06-16 12:30:00,22.390592941004755,13.908339424674846,392.64452867417816,113.36162894276184,913.4833,187.7067,384.1667,476.11,26.3,65.72
2025-06-16 13:00:00,10.695198296103994,7.860455977499494,221.73784631500936,101.66518252250827,619.1133,134.5833,405.5333,466.5833,26.15,63.43
2025-06-16 13:30:00,6.460078774695954,5.26695098969396,148.52860629656212,63.01192733050721,389.98,88.45667,414.58,463.2566,26.45,64.41
2025-06-16 14:00:00,6.477799414133506,4.9315446931007605,139.01503869544592,72.20595006653464,490.4333,107.4367,394.17,469.7033,27.22,57.83
2025-06-16 14:30:00,5.122766814149082,5.129557573735135,144.5295111788488,134.1867773540994,548.7567,124.5633,405.29,474.59,27.35,59.42
